index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-10-0,vm2,0.0,44.4369999999999,44.443381,0.0
1,task-1-1,vm4,0.021099,0.25,0.271616,0.0
2,task-10-2,vm4,0.021099,12.546999999998661,12.57491,0.0
3,task-1-3,vm4,0.021099,12.563000000000102,12.584994,0.0
4,task-10-4,vm4,0.022638,6.32799999999952,6.352646,0.0
5,task-1-5,vm4,0.024683,18.92199999999866,18.949501,0.0
6,task-1-6,vm4,0.024683,12.625,12.650202,0.0
7,task-10-7,vm3,0.025683,24.109999999998763,24.136146,0.0
8,task-1-8,vm4,0.025683,19.01599999999962,19.03257,0.0
9,task-10-9,vm4,0.025683,18.79699999999866,18.824007,0.0
11,task-10-11,vm3,0.026682,12.20299999999952,12.230188,0.0
16,task-10-16,vm2,0.027682,22.281999999999243,22.295994,0.0
18,task-1-18,vm3,0.027682,0.2819999999992433,0.299934,0.0
20,task-1-20,vm3,0.028682,24.23400000000038,24.278091,0.0
25,task-10-25,vm1,0.028682,-1.0,46.823396,0.0
10,task-1-10,vm4,0.271616,18.82799999999952,19.090758,0.25
21,task-1-21,vm3,0.299934,24.093000000000757,24.401794,0.26599999999962165
12,task-1-12,vm4,6.352646,12.828999999999724,19.183114,6.32799999999952
23,task-10-23,vm3,12.230188,23.29700000000048,35.527025,12.186999999999898
13,task-10-13,vm4,12.57491,13.156000000000859,25.716723,12.546999999998661
14,task-1-14,vm4,12.584994,13.23399999999856,25.811673,12.563000000000102
15,task-1-15,vm4,12.650202,13.265999999999622,25.904609,12.625
17,task-10-17,vm4,18.824999,13.281000000000859,32.096804,18.79699999999866
19,task-10-19,vm4,18.950535,19.311999999999898,38.271299,18.938000000000102
22,task-10-22,vm4,19.03257,25.39099999999962,44.427108,19.0
24,task-1-24,vm4,19.091757,25.42200000000048,44.528139,19.061999999999898
26,task-1-26,vm4,19.183114,25.436999999999898,44.617263,19.14099999999962
27,task-10-27,vm3,24.137335,33.60900000000038,57.732957,24.09399999999914
28,task-10-28,vm4,25.717721,25.110000000000582,50.830439,25.686999999999898
29,task-10-29,vm4,25.811673,31.188000000000102,57.011082,25.78099999999904
