index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-1-0,vm2,0.0,23.375,23.371246,0.0
1,task-1-1,vm4,0.001411,0.8130000000001019,0.8189,0.0
2,task-1-2,vm4,0.001411,1.2659999999996217,1.270761,0.0
3,task-1-3,vm4,0.001917,1.0,1.013352,0.0
4,task-1-4,vm3,0.001917,1.3440000000009604,1.347614,0.0
5,task-1-5,vm3,0.001917,0.8909999999996217,0.902285,0.0
6,task-1-6,vm4,0.002998,0.9220000000004802,0.93121,0.0
7,task-10-7,vm2,0.002998,23.10900000000038,23.118205,0.0
8,task-1-8,vm4,0.002998,0.7029999999995198,0.714325,0.0
9,task-1-9,vm4,0.004077,0.6560000000008586,0.658111,0.0
10,task-1-10,vm4,0.004077,0.7340000000003783,0.74291,0.0
11,task-1-11,vm3,0.004077,0.7340000000003783,0.740911,0.0
13,task-1-13,vm4,0.004077,1.0779999999995198,1.089408,0.0
19,task-1-19,vm3,0.005557,1.125,1.12735,0.0
77,task-7-77,vm1,0.006725,-1.0,32.800291,0.0
14,task-1-14,vm4,0.659433,0.6099999999987631,1.27215,0.6560000000008586
15,task-1-15,vm4,0.714325,0.6410000000014406,1.35809,0.7029999999995198
23,task-1-23,vm3,0.741913,0.875,1.620056,0.7340000000003783
16,task-1-16,vm4,0.74291,0.7039999999997235,1.448568,0.7340000000003783
17,task-1-17,vm4,0.8189,0.7960000000002765,1.616154,0.8130000000001019
26,task-8-26,vm3,0.902285,8.390000000001237,9.285502,0.8909999999996217
18,task-1-18,vm4,0.931754,0.7809999999990396,1.710167,0.9220000000004802
20,task-1-20,vm4,1.014352,0.8279999999995198,1.837919,1.0
21,task-1-21,vm4,1.089408,0.8600000000005821,1.944598,1.0779999999995198
28,task-1-28,vm3,1.128855,8.29700000000048,9.424827,1.125
22,task-1-22,vm4,1.270761,0.7810000000008586,2.05616,1.2659999999996217
24,task-1-24,vm4,1.272657,0.7180000000007567,1.997023,1.2659999999996217
30,task-1-30,vm3,1.347614,8.07799999999952,9.426289,1.3440000000009604
25,task-1-25,vm4,1.35809,0.75,2.109987,1.3440000000009604
27,task-4-27,vm4,1.448568,1.6869999999998981,3.136279,1.4380000000001019
29,task-1-29,vm4,1.61718,1.5789999999997235,3.20127,1.6090000000003783
34,task-6-34,vm3,1.620056,12.125,13.743102,1.6090000000003783
31,task-1-31,vm4,1.711183,1.610000000000582,3.319199,1.7029999999995198
33,task-1-33,vm4,1.838922,1.5310000000008586,3.373353,1.8279999999995198
36,task-5-36,vm4,1.944598,3.014999999999418,4.967874,1.9380000000001019
38,task-1-38,vm4,1.998024,3.0789999999997235,5.065415,1.9840000000003783
41,task-1-41,vm4,2.05616,3.1409999999996217,5.199366,2.04700000000048
42,task-1-42,vm4,2.109987,3.25,5.354911,2.0940000000009604
44,task-1-44,vm4,3.137786,2.3590000000003783,5.491972,3.125
46,task-1-46,vm4,3.20127,2.3590000000003783,5.555592,3.188000000000102
47,task-5-47,vm4,3.320578,3.9210000000002765,7.250974,3.313000000000102
48,task-1-48,vm4,3.373353,3.9689999999991414,7.337711,3.3590000000003783
49,task-1-49,vm4,4.967874,2.485000000000582,7.445485,4.95299999999952
50,task-1-50,vm4,5.066415,2.4060000000008586,7.475166,5.063000000000102
51,task-1-51,vm4,5.199366,2.2810000000008586,7.476521,5.188000000000102
53,task-1-53,vm4,5.355939,2.125,7.481009,5.34400000000096
54,task-1-54,vm4,5.491972,2.0789999999997235,7.572306,5.484000000000378
55,task-1-55,vm4,5.556753,2.1090000000003783,7.668003,5.54700000000048
57,task-1-57,vm4,7.251975,0.5470000000004802,7.812593,7.234000000000378
59,task-1-59,vm4,7.337711,0.5940000000009604,7.92814,7.32799999999952
60,task-1-60,vm4,7.445485,0.5460000000002765,7.992039,7.438000000000102
61,task-1-61,vm4,7.475166,0.6559999999990396,8.128744,7.46900000000096
63,task-1-63,vm4,7.476521,0.6719999999986612,8.149215,7.46900000000096
64,task-1-64,vm4,7.482193,0.7649999999994179,8.247461,7.46900000000096
65,task-1-65,vm4,7.573071,0.75,8.317913,7.563000000000102
66,task-1-66,vm4,7.669056,0.7349999999987631,8.397473,7.656000000000859
67,task-2-67,vm4,7.813599,0.8899999999994179,8.711996,7.813000000000102
70,task-1-70,vm4,7.92814,0.9529999999995198,8.88096,7.92200000000048
71,task-1-71,vm4,7.992039,1.0,8.985783,7.984000000000378
72,task-1-72,vm4,8.129746,0.9690000000009604,9.103146,8.125
73,task-2-73,vm4,8.149215,1.265000000001237,9.411271,8.140999999999622
74,task-1-74,vm4,8.247461,1.1880000000001019,9.426289,8.234000000000378
75,task-1-75,vm4,8.317913,1.1090000000003783,9.428748,8.313000000000102
76,task-1-76,vm4,8.397473,1.0619999999998981,9.468585,8.390999999999622
78,task-2-78,vm4,8.711996,1.0940000000009604,9.804821,8.70299999999952
81,task-1-81,vm4,8.881959,1.0779999999995198,9.964878,8.875
82,task-1-82,vm4,8.985783,1.1409999999996217,10.137412,8.984000000000378
83,task-1-83,vm4,9.104243,1.2029999999995198,10.309239,9.09400000000096
35,task-1-35,vm3,9.286007,4.563000000000102,13.855323,9.281000000000859
84,task-1-84,vm4,9.412264,1.0,10.414758,9.406000000000859
40,task-1-40,vm3,9.424827,4.609000000000378,14.032533,9.42200000000048
45,task-1-45,vm3,9.428748,4.75,14.187661,9.42200000000048
86,task-1-86,vm4,9.428748,1.0619999999998981,10.485957,9.42200000000048
87,task-1-87,vm4,9.429744,1.125,10.551948,9.42200000000048
89,task-1-89,vm4,9.468585,1.1560000000008586,10.625993,9.45299999999952
90,task-1-90,vm4,9.804821,0.8590000000003783,10.668038,9.79700000000048
91,task-3-91,vm4,9.964878,1.2970000000004802,11.264082,9.95299999999952
94,task-4-94,vm4,10.137412,2.125,12.263961,10.125
95,task-2-95,vm4,10.310239,2.2659999999996217,12.572271,10.29700000000048
98,task-1-98,vm4,10.414758,0.9849999999987631,11.392249,10.406000000000859
99,task-1-99,vm4,10.485957,2.17200000000048,12.665977,10.484000000000378
100,task-1-100,vm4,10.551948,2.186999999999898,12.744272,10.54700000000048
101,task-1-101,vm4,10.625993,2.235000000000582,12.846266,10.609000000000378
102,task-1-102,vm4,10.669703,2.4689999999991414,13.130913,10.656000000000859
103,task-1-103,vm4,11.264082,2.04700000000048,13.29933,11.25
104,task-1-104,vm4,11.392249,2.015000000001237,13.413323,11.390999999999622
105,task-1-105,vm4,12.263961,1.2810000000008586,13.536379,12.25
106,task-1-106,vm4,12.573362,1.0779999999995198,13.646978,12.563000000000102
107,task-10-107,vm4,12.665977,6.843999999999141,19.501648,12.656000000000859
108,task-1-108,vm4,12.744272,6.781999999999243,19.526239,12.734000000000378
109,task-1-109,vm4,12.847397,6.733999999998559,19.584052,12.84400000000096
110,task-1-110,vm4,13.130913,6.734000000000378,19.869963,13.125
112,task-1-112,vm4,13.300337,6.375,19.688089,13.29700000000048
113,task-1-113,vm4,13.414322,6.359999999998763,19.769867,13.406000000000859
114,task-1-114,vm4,13.537379,6.438000000000102,19.98018,13.531000000000859
115,task-1-115,vm4,13.646978,6.406000000000859,20.054319,13.640999999999622
52,task-1-52,vm3,13.743102,0.5319999999992433,14.275261,13.734000000000378
56,task-9-56,vm3,13.855323,10.10899999999856,23.95835,13.84400000000096
62,task-1-62,vm3,14.032533,10.07799999999952,24.112496,14.031000000000859
68,task-1-68,vm3,14.187661,10.15599999999904,24.341747,14.17200000000048
69,task-1-69,vm3,14.275261,10.234000000000378,24.511556,14.265999999999622
116,task-1-116,vm4,19.501648,0.7190000000009604,20.227211,19.5
117,task-1-117,vm4,19.527667,0.875,20.403611,19.51599999999962
118,task-1-118,vm4,19.584052,0.9380000000001019,20.526227,19.57799999999952
119,task-1-119,vm4,19.688089,0.9689999999991414,20.648545,19.67200000000048
120,task-1-120,vm4,19.770872,1.0,20.779457,19.76599999999962
121,task-1-121,vm4,19.869963,1.0159999999996217,20.882419,19.85900000000038
122,task-1-122,vm4,19.98018,0.9529999999995198,20.934306,19.96900000000096
124,task-1-124,vm4,20.054319,0.875,20.937654,20.04700000000048
126,task-8-126,vm4,20.227211,4.843999999999141,25.068177,20.21900000000096
129,task-1-129,vm4,20.403611,4.75,25.157256,20.39099999999962
130,task-1-130,vm4,20.526227,4.781000000000859,25.305088,20.51599999999962
131,task-1-131,vm4,20.64954,4.703000000001339,25.34657,20.64099999999962
133,task-1-133,vm4,20.780606,4.578000000001339,25.347091,20.76599999999962
134,task-1-134,vm4,20.882419,4.46900000000096,25.360055,20.875
135,task-6-135,vm4,20.936123,6.561999999999898,27.495585,20.92200000000048
136,task-1-136,vm4,20.93916,6.6710000000002765,27.620785,20.938000000000102
12,task-1-12,vm2,23.118205,0.4850000000005821,23.600901,23.10900000000038
32,task-1-32,vm2,23.372248,0.43800000000010186,23.80571,23.35900000000038
37,task-1-37,vm2,23.600901,0.3899999999994179,23.989885,23.59400000000096
39,task-1-39,vm2,23.806708,0.5309999999990396,24.341747,23.79700000000048
80,task-1-80,vm3,23.95835,0.7660000000014406,24.725993,23.95299999999952
43,task-1-43,vm2,23.989885,0.6720000000004802,24.657719,23.98400000000038
85,task-1-85,vm3,24.112496,0.8600000000005821,24.982685,24.10900000000038
