dataset,iteration,total_tasks,makespan,throughput,total_cpu_time,total_wait_time,avg_start_time,avg_exec_time,avg_finish_time,avg_wait_time,imbalance_degree,resource_utilization
Low-High_Dataset,1,29,57.75,0.5021645021645021,546.0489999999936,227.26599999999416,7.8633542068965525,18.829275862068744,26.692240241379306,7.836758620689454,1.487685171111012,0.6303595959595886
Low-High_Dataset,2,29,66.5,0.43609022556390975,541.3189999999904,237.5679999999902,8.196213827586208,18.666172413792772,26.86327775862069,8.191999999999663,1.551864981646689,0.542675689223048
Low-High_Dataset,3,29,80.51599999999962,0.360176859257789,580.8300000000017,325.73600000000624,11.239719965517242,20.028620689655234,31.269683689655178,11.23227586206918,2.281128729576628,0.48092304635103955
Low-High_Dataset,4,29,61.9380000000001,0.4682101456294997,571.0790000000106,293.3610000000099,10.115948724137933,19.692379310345196,29.80698510344828,10.115896551724479,1.5929529889910066,0.6146781189792047
Low-High_Dataset,5,29,69.73499999999876,0.41586004158601153,639.8009999999922,304.1599999999926,10.488546758620691,22.062103448275593,32.54829565517241,10.48827586206871,1.431895229923064,0.6116498171649851
Low-High_Dataset,6,29,101.98500000000058,0.2843555424817359,608.4769999999971,244.11699999999837,8.418281689655172,20.98196551724128,29.398950551724134,8.41782758620684,1.489831168639073,0.397755879132548
Low-High_Dataset,7,29,184.73400000000038,0.15698247209501195,585.1960000000017,149.5079999999998,5.1594609310344826,20.179172413793165,25.339875620689654,5.155448275862063,1.389821529880591,0.21118509135658137
Low-High_Dataset,8,29,182.8130000000001,0.15863204476705695,611.1740000000009,300.5159999999996,10.363156896551724,21.07496551724141,31.437122344827582,10.36262068965516,1.660633469355711,0.22287765822634806
Low-High_Dataset,9,29,80.67200000000048,0.35948036493454766,596.6249999999964,252.18899999999667,8.701025172413793,20.57327586206884,29.275784344827585,8.696172413792988,1.5256869893148888,0.49304591431970846
Low-High_Dataset,10,29,121.04700000000048,0.23957636290036008,665.046999999995,311.92099999999664,10.75760931034483,22.93265517241362,33.69002193103448,10.755896551724023,1.7521287969120887,0.366274807856999
Random_Simple_Dataset,1,48,190.0,0.25263157894736843,702.412999999995,858.2349999999933,17.886115854166665,14.633604166666563,32.52030802083333,17.879895833333194,1.5700036872893812,0.24646070175438423
Random_Simple_Dataset,2,49,75.0619999999999,0.6527936905491469,724.9019999999928,889.212999999987,18.15500589795918,14.79391836734679,32.94807071428571,18.14720408163239,1.4053361695787805,0.6438251045802081
Random_Simple_Dataset,3,50,62.04699999999866,0.8058407336374213,792.7509999999947,933.1069999999891,18.66977924,15.855019999999895,34.526204400000005,18.66213999999978,1.8825331030802863,0.8517747299090602
Random_Simple_Dataset,4,50,61.11000000000058,0.8181966944853465,763.9540000000015,874.351999999979,17.494320000000002,15.27908000000003,32.77271838,17.487039999999578,2.0513434054930033,0.8334195167184796
Random_Simple_Dataset,5,50,68.04700000000048,0.7347862506796721,828.8640000000087,969.0210000000243,19.380800960000002,16.577280000000172,35.95778262,19.380420000000484,2.0749169948266597,0.8120504945111495
Random_Simple_Dataset,6,49,61.875,0.7919191919191919,786.4990000000053,930.2840000000142,18.985716632653062,16.05100000000011,35.03548795918367,18.98538775510233,2.193981174801232,0.8474063299663356
