index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-10-0,vm1,0.0,-1.0,77.603504,0.0
1,task-1-1,vm2,0.0,0.5790000000015425,0.581015,0.0
2,task-10-2,vm3,0.001288,11.26600000000326,11.269469,0.0
3,task-1-3,vm4,0.001288,0.23500000000058208,0.229068,0.0
4,task-10-4,vm4,0.001288,6.407000000002881,6.403692,0.0
5,task-1-5,vm2,0.002693,0.3440000000009604,0.345048,0.0
8,task-1-8,vm4,0.002693,6.5,6.495694,0.0
9,task-10-9,vm4,0.003693,12.59400000000096,12.595708,0.0
10,task-1-10,vm3,0.003693,11.407000000002881,11.402967,0.0
11,task-10-11,vm3,0.004693,22.60899999999674,22.624806,0.0
12,task-1-12,vm4,0.004693,12.687999999998283,12.70175,0.0
13,task-10-13,vm4,0.005693,19.01599999999962,19.023211,0.0
14,task-1-14,vm4,0.005693,12.78099999999904,12.800152,0.0
15,task-1-15,vm4,0.007201,12.890999999999622,12.897736,0.0
17,task-10-17,vm3,0.007201,33.98399999999674,33.994842,0.0
16,task-10-16,vm4,0.229068,24.85900000000038,25.088997,0.21899999999732245
6,task-1-6,vm2,0.345048,0.4690000000009604,0.812026,0.3440000000009604
7,task-10-7,vm2,0.581015,22.718000000000757,23.294807,0.5790000000015425
20,task-1-20,vm2,0.813293,22.73400000000038,23.536099,0.7969999999986612
18,task-1-18,vm4,6.404985,18.764999999999418,25.174086,6.390999999999622
19,task-10-19,vm4,6.49669,24.954000000001543,31.455373,6.48399999999674
24,task-1-24,vm3,11.270012,22.85900000000038,34.129836,11.265999999999622
25,task-10-25,vm3,11.402967,34.68699999999808,46.092452,11.390999999999622
23,task-10-23,vm4,12.595708,24.93800000000192,37.52018,12.5779999999977
26,task-1-26,vm4,12.70175,24.920999999998457,37.618762,12.687999999998283
27,task-10-27,vm4,12.800723,30.875,43.665153,12.78099999999904
28,task-10-28,vm4,12.898734,36.78099999999904,49.678925,12.890999999999622
21,task-1-21,vm2,23.294807,0.4850000000005821,23.779394,23.28099999999904
22,task-10-22,vm2,23.536099,22.46900000000096,46.015142,23.53099999999904
29,task-10-29,vm1,77.603504,-1.0,109.720589,77.59399999999732
