index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm1,0.0,-1.0,44.910096,0.0
1,task-5-1,vm2,0.001001,5.96900000000096,5.978353,0.0
2,task-8-2,vm3,0.001001,7.407000000002881,7.420968,0.0
3,task-2-3,vm4,0.001001,0.5320000000028813,0.53272,0.0
4,task-10-4,vm4,0.003133,6.782000000002881,6.789336,0.0
5,task-3-5,vm2,0.003133,8.157000000002881,8.163272,0.0
6,task-4-6,vm4,0.004131,13.704000000001543,13.707738,0.0
7,task-4-7,vm4,0.004131,12.704000000001543,12.706732,0.0
8,task-7-8,vm3,0.00513,12.954000000001543,12.963623,0.0
10,task-9-10,vm4,0.00613,11.68800000000192,11.691037,0.0
13,task-9-13,vm4,0.00613,20.235000000000582,20.237865,0.0
14,task-1-14,vm3,0.00613,13.079000000001543,13.089622,0.0
15,task-8-15,vm3,0.007313,20.2970000000023,20.297381,0.0
17,task-5-17,vm4,0.007313,15.26600000000326,15.275631,0.0
19,task-10-19,vm4,0.008321,26.2970000000023,26.310804,0.0
22,task-8-22,vm4,0.53272,29.68699999999808,30.230943,0.5320000000028813
9,task-3-9,vm2,5.978353,4.390999999999622,10.360345,5.96900000000096
26,task-4-26,vm4,6.790335,24.4529999999977,31.236491,6.782000000002881
20,task-6-20,vm3,7.421967,16.89099999999962,24.318766,7.422000000002299
11,task-1-11,vm2,8.163272,2.4679999999971187,10.629807,8.157000000002881
12,task-7-12,vm2,10.360345,12.312000000001717,22.676521,10.360000000000582
21,task-5-21,vm2,10.629807,18.14100000000326,28.768232,10.625
27,task-4-27,vm4,11.691037,20.56199999999808,32.250949,11.68800000000192
29,task-3-29,vm4,12.707728,20.125,32.841627,12.704000000001543
23,task-2-23,vm3,12.964926,11.812000000001717,24.77545,12.954000000001543
24,task-10-24,vm3,13.089622,22.795999999998457,35.88132,13.079000000001543
30,task-9-30,vm4,13.707738,24.062000000001717,37.777446,13.704000000001543
32,task-7-32,vm4,15.275631,25.51599999999962,40.786115,15.26600000000326
36,task-2-36,vm4,20.237865,20.812000000001717,41.050789,20.235000000000582
34,task-1-34,vm3,20.297381,15.71900000000096,36.028935,20.2970000000023
25,task-3-25,vm2,22.676521,8.281999999999243,30.955417,22.6720000000023
35,task-8-35,vm3,24.318766,18.90599999999904,43.228322,24.31300000000192
46,task-4-46,vm3,24.77545,20.28099999999904,45.060811,24.76600000000326
37,task-5-37,vm4,26.310804,16.29699999999866,42.602824,26.2970000000023
28,task-7-28,vm2,28.768232,14.140999999999622,42.913185,28.76600000000326
38,task-6-38,vm4,30.231942,14.578000000001339,44.810166,30.21900000000096
39,task-2-39,vm2,30.955417,12.953000000001339,43.906664,30.954000000001543
41,task-4-41,vm4,31.236491,14.562000000001717,45.798937,31.235000000000582
42,task-5-42,vm4,32.250949,15.09400000000096,47.345629,32.25
44,task-1-44,vm4,32.84287,14.609000000000378,47.443721,32.82900000000154
48,task-6-48,vm3,35.882533,13.204000000001543,49.088353,35.875
45,task-3-45,vm4,37.777446,10.265999999999622,48.043587,37.76600000000326
47,task-9-47,vm4,40.786115,12.125,52.918091,40.78200000000288
49,task-7-49,vm4,41.050789,14.8279999999977,55.883633,41.0470000000023
40,task-3-40,vm2,42.913185,3.202999999997701,46.111591,42.90700000000288
43,task-6-43,vm2,43.906664,10.53099999999904,54.44855,43.90700000000288
16,task-2-16,vm1,44.910096,50.09299999999712,95.012203,44.90700000000288
18,task-6-18,vm1,95.012203,-1.0,126.143059,95.0
31,task-1-31,vm1,126.143059,29.26599999999962,155.413992,126.14100000000326
33,task-9-33,vm1,155.414991,-1.0,186.640126,155.40700000000288
