index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-10-0,vm1,0.0,-1.0,107.190598,0.0
1,task-1-1,vm2,0.001547,0.8429999999971187,0.849846,0.0
2,task-10-2,vm3,0.001547,12.375,12.381675,0.0
3,task-1-3,vm4,0.001547,0.2029999999977008,0.205387,0.0
5,task-1-5,vm2,0.004336,0.4529999999977008,0.461565,0.0
6,task-1-6,vm3,0.004336,0.21799999999711872,0.223446,0.0
7,task-10-7,vm4,0.005343,6.28099999999904,6.287308,0.0
10,task-1-10,vm3,0.005343,12.514999999999418,12.525055,0.0
11,task-10-11,vm4,0.006342,12.25,12.250794,0.0
14,task-1-14,vm3,0.006342,12.65599999999904,12.664743,0.0
15,task-1-15,vm4,0.006342,0.2969999999986612,0.299423,0.0
19,task-10-19,vm4,0.007359,30.125,30.138888,0.0
23,task-10-23,vm4,0.007359,24.17199999999866,24.176088,0.0
27,task-10-27,vm4,0.007359,18.21799999999712,18.220369,0.0
18,task-1-18,vm3,0.224001,12.579000000001543,12.806723,0.21799999999711872
9,task-10-9,vm2,0.461565,23.031000000002678,23.496244,0.4529999999977008
13,task-10-13,vm2,0.849846,44.61000000000058,45.459448,0.8429999999971187
22,task-10-22,vm3,12.382674,12.5779999999977,24.961535,12.375
26,task-1-26,vm3,12.525055,12.5779999999977,25.097798,12.514999999999418
17,task-10-17,vm2,23.496244,43.5779999999977,67.070172,23.48400000000038
21,task-1-21,vm2,45.459448,21.82800000000134,67.280737,45.4529999999977
25,task-10-25,vm2,67.071681,21.46900000000096,88.535329,67.06199999999808
29,task-10-29,vm2,67.280737,42.29699999999866,109.582478,67.28099999999904
4,task-10-4,vm1,107.191608,-1.0,199.914478,107.18699999999808
8,task-1-8,vm1,199.914478,3.8280000000013388,203.733173,199.90599999999904
12,task-1-12,vm1,203.733173,2.937999999998283,206.684264,203.73400000000038
16,task-10-16,vm1,206.684264,-1.0,237.819224,206.67199999999866
20,task-1-20,vm1,237.819224,45.84400000000096,283.657516,237.81199999999808
24,task-1-24,vm1,283.657516,3.186999999998079,286.853341,283.65599999999904
28,task-10-28,vm1,286.854348,-1.0,318.663166,286.8429999999971
