index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-1-0,vm1,0.0,45.20300000000134,45.201347,0.0
1,task-1-1,vm2,0.001,0.3280000000013388,0.335805,0.0
2,task-1-2,vm3,0.002002,0.25,0.245465,0.0
3,task-1-3,vm4,0.002002,0.21900000000096043,0.219614,0.0
5,task-1-5,vm2,0.002002,0.5620000000017171,0.568832,0.0
6,task-1-6,vm3,0.002998,0.375,0.38188,0.0
7,task-10-7,vm4,0.002998,6.828000000001339,6.832304,0.0
10,task-1-10,vm3,0.004505,0.6399999999994179,0.644623,0.0
11,task-1-11,vm4,0.004505,7.014999999999418,7.010716,0.0
14,task-1-14,vm3,0.004505,0.5149999999994179,0.513923,0.0
15,task-1-15,vm4,0.005513,7.264999999999418,7.260459,0.0
19,task-1-19,vm4,0.005513,6.922000000002299,6.923006,0.0
23,task-1-23,vm4,0.005513,7.09400000000096,7.091729,0.0
27,task-4-27,vm4,0.006512,8.25,8.256652,0.0
31,task-1-31,vm4,0.006512,7.187000000001717,7.190635,0.0
35,task-1-35,vm4,0.219614,8.125,8.342109,0.21900000000096043
18,task-1-18,vm3,0.246774,0.5310000000026776,0.777992,0.25
9,task-1-9,vm2,0.335805,0.4690000000009604,0.80579,0.3280000000013388
22,task-1-22,vm3,0.38188,0.5310000000026776,0.909368,0.375
26,task-8-26,vm3,0.513923,8.079000000001543,8.588293,0.5149999999994179
13,task-1-13,vm2,0.568832,0.4850000000005821,1.043446,0.5620000000017171
30,task-1-30,vm3,0.644623,8.09400000000096,8.732187,0.6399999999994179
34,task-6-34,vm3,0.777992,12.296999999998661,13.087166,0.7810000000026776
17,task-1-17,vm2,0.80579,0.48400000000037835,1.275564,0.7970000000022992
38,task-1-38,vm3,0.909368,12.3279999999977,13.23083,0.9060000000026776
21,task-1-21,vm2,1.043446,0.4679999999971187,1.516871,1.0470000000022992
25,task-1-25,vm2,1.275564,0.4529999999977008,1.738842,1.2810000000026776
29,task-1-29,vm2,1.517875,0.4540000000015425,1.9748,1.514999999999418
33,task-1-33,vm2,1.738842,0.4690000000009604,2.210773,1.7340000000003783
37,task-1-37,vm2,1.9748,0.4680000000007567,2.443806,1.9690000000009604
41,task-1-41,vm2,2.210773,0.4690000000009604,2.677034,2.2030000000013388
45,task-1-45,vm2,2.443806,0.4850000000005821,2.916814,2.437000000001717
49,task-1-49,vm2,2.677034,0.48400000000037835,3.152602,2.672000000002299
53,task-1-53,vm2,2.916814,0.4679999999971187,3.38994,2.922000000002299
57,task-1-57,vm2,3.153599,0.46899999999732245,3.621844,3.1560000000026776
61,task-1-61,vm2,3.38994,0.4690000000009604,3.86316,3.389999999999418
65,task-1-65,vm2,3.621844,0.48400000000037835,4.109301,3.625
69,task-1-69,vm2,3.86316,0.4850000000005821,4.345503,3.8590000000003783
73,task-2-73,vm2,4.109877,1.1409999999996217,5.251567,4.109000000000378
77,task-7-77,vm2,4.345503,11.843000000000757,16.181627,4.34400000000096
81,task-1-81,vm2,5.252949,11.1720000000023,16.425538,5.25
39,task-1-39,vm4,6.83376,1.5940000000009604,8.42577,6.828000000001339
43,task-1-43,vm4,6.924004,1.5929999999971187,8.515655,6.922000000002299
47,task-5-47,vm4,7.010716,3.047000000002299,10.068996,7.014999999999418
51,task-1-51,vm4,7.091729,3.0780000000013388,10.166953,7.09400000000096
55,task-1-55,vm4,7.19163,3.0469999999986612,10.243329,7.187000000001717
59,task-1-59,vm4,7.260459,3.063000000001921,10.325354,7.264999999999418
63,task-1-63,vm4,8.256652,2.1560000000026776,10.406013,8.25
