index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-10-0,vm2,0.0,36.60999999999876,36.611075,0.0
1,task-1-1,vm4,0.0,12.656999999999243,12.668602,0.0
2,task-10-2,vm3,0.001439,12.796999999998661,12.800068,0.0
3,task-1-3,vm4,0.001439,12.671999999998661,12.670723,0.0
4,task-10-4,vm4,0.001439,12.515999999999622,12.515175,0.0
5,task-1-5,vm2,0.001439,36.82799999999952,36.838398,0.0
6,task-1-6,vm4,0.001439,12.671999999998661,12.670723,0.0
7,task-10-7,vm4,0.002783,6.234999999998763,6.234186,0.0
8,task-1-8,vm4,0.002783,12.688000000000102,12.690372,0.0
9,task-10-9,vm4,0.003359,18.95299999999952,18.954392,0.0
10,task-1-10,vm4,0.003359,12.796999999998661,12.802161,0.0
14,task-1-14,vm3,0.003359,12.671999999998661,12.670723,0.0
15,task-1-15,vm3,0.003359,12.515999999999622,12.519587,0.0
16,task-10-16,vm1,0.004794,-1.0,47.263596,0.0
20,task-1-20,vm3,0.005889,12.656999999999243,12.669711,0.0
12,task-1-12,vm4,6.234186,12.906000000000859,19.153706,6.234999999998763
13,task-10-13,vm4,12.517588,13.04700000000048,25.572358,12.515999999999622
22,task-10-22,vm3,12.519587,13.436999999999898,25.961175,12.515999999999622
17,task-10-17,vm4,12.669711,18.73400000000038,31.392673,12.656999999999243
23,task-10-23,vm3,12.670723,25.07800000000134,37.755802,12.671999999998661
18,task-1-18,vm4,12.672052,13.078000000001339,25.759745,12.671999999998661
25,task-10-25,vm3,12.672052,36.92200000000048,49.59211,12.671999999998661
19,task-10-19,vm4,12.673049,25.04700000000048,37.730794,12.671999999998661
21,task-1-21,vm4,12.690372,25.20299999999952,37.899924,12.688000000000102
26,task-1-26,vm3,12.800068,36.98500000000058,49.790612,12.796999999998661
27,task-10-27,vm3,25.961712,39.28199999999924,65.240171,25.95299999999952
11,task-10-11,vm2,36.612078,22.686999999999898,59.303525,36.60999999999876
24,task-1-24,vm2,36.838398,22.781999999999243,59.613304,36.82799999999952
29,task-10-29,vm3,37.756802,38.71899999999914,76.481712,37.75
28,task-10-28,vm2,59.304524,22.813000000000102,82.122143,59.29699999999866
