index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm3,0.0,4.15599999999904,4.154028,0.0
1,task-5-1,vm4,0.0,2.125,2.125147,0.0
2,task-8-2,vm2,0.001082,15.421999999998661,15.421271,0.0
3,task-2-3,vm4,0.001082,2.4059999999990396,2.398752,0.0
4,task-10-4,vm3,0.001082,20.78099999999904,20.773508,0.0
5,task-3-5,vm2,0.001082,16.53099999999904,16.536007,0.0
6,task-4-6,vm4,0.002589,3.4219999999986612,3.428437,0.0
8,task-7-8,vm3,0.003587,9.65599999999904,9.659387,0.0
9,task-3-9,vm4,0.003587,8.90599999999904,8.904195,0.0
10,task-9-10,vm3,0.003587,29.811999999999898,29.80533,0.0
11,task-1-11,vm4,0.003587,13.28099999999904,13.273208,0.0
13,task-9-13,vm4,0.004953,8.32799999999952,8.32114,0.0
15,task-8-15,vm4,0.004953,12.889999999999418,12.895621,0.0
16,task-2-16,vm4,0.004953,13.171999999998661,13.174771,0.0
33,task-9-33,vm1,0.006461,-1.0,106.570689,0.0
17,task-5-17,vm4,2.125147,13.296999999998661,15.423784,2.125
21,task-5-21,vm4,2.398752,13.95299999999952,16.358926,2.4059999999990396
22,task-8-22,vm4,3.428437,16.85900000000038,20.279813,3.4219999999986612
19,task-10-19,vm3,4.154028,36.85900000000038,41.019162,4.15599999999904
23,task-2-23,vm4,8.32114,12.234000000000378,20.554356,8.32799999999952
24,task-10-24,vm4,8.90546,17.71900000000096,26.621433,8.90599999999904
20,task-6-20,vm3,9.659387,35.4380000000001,45.097578,9.65599999999904
25,task-3-25,vm4,12.895621,14.313000000000102,27.206416,12.889999999999418
26,task-4-26,vm4,13.174771,15.061999999999898,28.230323,13.171999999998661
27,task-4-27,vm4,13.273208,15.95299999999952,29.231602,13.28099999999904
7,task-4-7,vm2,15.421271,4.686999999999898,20.113803,15.421999999998661
28,task-7-28,vm4,15.423784,16.765000000001237,32.185602,15.421999999998661
29,task-3-29,vm4,16.358926,16.40600000000086,32.77059,16.35899999999856
12,task-7-12,vm2,16.536007,14.59400000000096,31.117684,16.53099999999904
14,task-1-14,vm2,20.113803,11.25,31.354718,20.10899999999856
32,task-7-32,vm4,20.279813,15.484000000000378,35.761962,20.28099999999904
34,task-1-34,vm4,20.554356,15.296999999998661,35.851818,20.561999999999898
30,task-9-30,vm3,20.773508,33.76599999999962,54.552405,20.78099999999904
35,task-8-35,vm4,26.622443,13.15599999999904,39.779684,26.625
36,task-2-36,vm4,27.20741,12.859000000000378,40.056704,27.20299999999952
37,task-5-37,vm4,28.230323,13.39100000000144,41.626155,28.23399999999856
38,task-6-38,vm4,29.23218,14.703000000001339,43.936515,29.23399999999856
31,task-1-31,vm3,29.80533,24.875,54.691169,29.811999999999898
18,task-6-18,vm2,31.117684,8.35899999999856,39.486117,31.125
41,task-4-41,vm2,31.354718,11.75,43.105812,31.35899999999856
39,task-2-39,vm4,32.185602,11.984999999998763,44.17465,32.1869999999999
40,task-3-40,vm4,32.771612,11.938000000000102,44.697994,32.76499999999942
45,task-3-45,vm4,35.761962,9.54700000000048,45.310334,35.76499999999942
47,task-9-47,vm4,35.851818,14.453000000001339,50.306396,35.85899999999856
43,task-6-43,vm2,39.486117,11.781000000000859,51.262596,39.48399999999856
42,task-5-42,vm3,41.019162,16.71899999999914,57.730571,41.01499999999942
48,task-6-48,vm2,43.106804,16.110000000000582,59.219019,43.10899999999856
44,task-1-44,vm3,45.097578,12.781000000000859,57.866763,45.09399999999914
46,task-4-46,vm3,54.55294,5.140000000001237,59.67948,54.54699999999866
49,task-7-49,vm1,106.570689,-1.0,204.528079,106.57799999999952
